Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
Lone Digger,<I°_°I>,Caravan Palace,16/10/15,229804,56,FALSE,"electro swing,swing music,nu jazz",0.767,0.938,5,-4.433,0,0.0505,0.592,0.0193,0.118,0.868,123.99,4
Circle of Life,The Lion King,Carmen Twillie;Lebo M.,1/1/94,239146,64,FALSE,,0.402,0.391,10,-16.112,1,0.0405,0.0634,0,0.296,0.566,83.788,4
I Just Can't Wait to Be King,The Lion King,Jason Weaver;Rowan Atkinson;Laura Williams,1/1/94,170880,68,FALSE,,0.691,0.531,6,-14.204,1,0.0546,0.323,0.0000747,0.0958,0.897,98.813,4
Hakuna Matata,The Lion King,Nathan Lane;Ernie Sabella;Jason Weaver;Joseph Williams,1/1/94,213600,68,FALSE,,0.408,0.312,0,-18.09,1,0.135,0.617,0.0000119,0.115,0.726,170.042,4
Bad Habits,Bad Habits (Acoustic Version),Ed Sheeran,9/7/21,230746,44,FALSE,soft pop,0.807,0.893,11,-3.745,0,0.0347,0.0451,0.0000279,0.366,0.537,126.011,4
Gimme More,Blackout,Britney Spears,25/10/07,251244,85,TRUE,pop,0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324,4
"Kalyaana Maalai - Version, 1",Pudhu Pudhu Arthangal (Original Motion Picture Soundtrack),Ilaiyaraaja;S. P. Balasubrahmanyam,1989,278533,64,FALSE,"tamil pop,kollywood,telugu pop,kannada pop,devotional,tollywood,sandalwood",0.509,0.494,1,-9.832,0,0.0309,0.98,0.558,0.107,0.756,151.656,5
Google Google,Thuppakki,Vijay;(C. Joseph Vijay);Andrea Jeremiah;Krishna Iyer;(Rap) Joe,13/9/12,369183,64,FALSE,"tamil dance,tamil pop,kollywood",0.923,0.668,5,-6.783,0,0.0496,0.0104,0.00465,0.107,0.785,128.987,4
Alaikaa Laikaa,Thuppakki,Javed Ali;Sayanora;Sharmila,13/9/12,303631,57,FALSE,"sufi,bollywood,hindi pop,qawwali,desi,desi pop,kollywood,tamil pop,tamil dance,telugu pop,tollywood",0.875,0.725,9,-4.552,0,0.117,0.0596,0.000602,0.0961,0.637,127.041,4
Antarctica,Thuppakki,Vijay Prakash;Krish;(Rap) Rajeev,13/9/12,301764,52,FALSE,"kannada pop,sandalwood,tollywood,telugu pop,tamil pop,kollywood,tamil hip hop",0.843,0.559,0,-5.928,1,0.0391,0.0226,0.000187,0.0802,0.755,116.01,4
Livin' la Vida Loca,Ricky Martin,Ricky Martin,1999,243160,77,FALSE,"latin pop,latin",0.425,0.954,1,-3.756,0,0.0476,0.00414,0,0.0555,0.933,178.043,4
María - Pablo Flores Spanglish Radio Edit,Ricky Martin,Ricky Martin;Pablo Flores;Javier Garza,1999,271266,57,FALSE,"latin pop,latin",0.707,0.921,9,-7.384,0,0.0819,0.00365,0.00000216,0.0362,0.685,126.869,4
Bon Appétit,Witness (Deluxe),Katy Perry;Migos,9/6/17,227813,74,FALSE,"pop,trap",0.8,0.795,6,-5.835,1,0.0626,0.131,0.0000902,0.221,0.528,106.031,4
Salam Rocky Bhai (Malayalam),KGF Chapter 1 (Malayalam),Vijay Prakash;Mohan Krishna;Renjith Unni;Balraj Jagadeesh Kumar;Deepesh A K;Abhishek Chithra Soman;Ravi Basrur;Sudamsu,14/12/18,246047,24,FALSE,"kannada pop,sandalwood,tollywood,telugu pop,tamil pop,kollywood,malayalam pop,mollywood,tamil dance",0.713,0.92,10,-7.89,0,0.0458,0.355,0.00685,0.0512,0.573,124.017,4
Aagaya Vennilavae,Arangetra Velai (Original Motion Picture Soundtrack),Uma Ramanan;K. J. Yesudas,1990,277946,48,FALSE,"tamil pop,malayalam pop,devotional,mollywood",0.647,0.41,4,-9.851,0,0.0425,0.958,0.000141,0.144,0.725,140.532,4
"Hui Malang (From ""Malang - Unleash The Madness"")","Hui Malang (From ""Malang - Unleash The Madness"")",Asees Kaur;Kunaal Vermaa;Ved Sharma,3/2/20,192096,43,FALSE,"bollywood,hindi pop,gujarati garba,desi,desi pop",0.633,0.904,7,-5.09,0,0.0564,0.0337,0.0000431,0.122,0.259,124.008,4
Senorita,Zindagi Na Milegi Dobara,Farhan Akhtar;Hrithik Roshan;Abhay Deol;Maria Del Mar Fernandez,6/6/11,229575,67,FALSE,"bollywood,desi,hindi pop",0.701,0.681,9,-6.442,1,0.0466,0.134,0,0.064,0.81,122.539,4
Uyire Un Uyirena,Zero (Original Motion Picture Soundtrack),Anirudh Ravichander,24/2/16,284800,53,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop",0.476,0.564,2,-7.844,0,0.0298,0.00967,0.000065,0.11,0.267,149.883,4
They Don't Care About Us,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",Michael Jackson,16/6/95,284310,80,FALSE,,0.859,0.905,0,-5.539,0,0.129,0.205,0.00837,0.322,0.731,89.946,4
Yaanji,Vikram Vedha (Original Motion Picture Soundtrack),Anirudh Ravichander;Sam C.S.;Shakthisree Gopalan,19/6/17,270375,59,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,malayalam hip hop,malayalam pop",0.692,0.624,9,-6.492,0,0.0337,0.368,0,0.108,0.487,132.896,4
Tasakku Tasakku,Vikram Vedha (Original Motion Picture Soundtrack),Mukesh;Sam C.S.;M.L.R. Karthikeyan;Guna,19/6/17,240140,48,FALSE,"ghazal,tamil dance,tamil pop,kollywood,malayalam hip hop,malayalam pop,tollywood,telugu pop",0.643,0.763,0,-6.771,1,0.586,0.367,0,0.043,0.88,107.049,4
"Po Indru Neeyaga (From ""Velai Illa Pattadhaari"")",Rockstar Anirudh Special,Anirudh Ravichander;Dhanush,24/2/23,225320,18,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop",0.476,0.58,3,-4.598,0,0.0304,0.265,0,0.0842,0.455,144.953,3
"Udhungada Sangu (From ""Velai Illa Pattadhaari"")",Rockstar Anirudh Special,Anirudh Ravichander;Dhanush,24/2/23,209640,22,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop",0.511,0.793,8,-6.22,1,0.0906,0.219,0,0.0576,0.784,116.757,4
VIP Title Song,Rockstar Anirudh Special,Anirudh Ravichander;Dhanush,24/2/23,236555,21,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop",0.527,0.93,5,-5.045,0,0.0966,0.00608,0,0.6,0.706,90.022,4
Oh Penne,Vanakkam Chennai (Original Motion Picture Soundtrack),Anirudh Ravichander;Vishal Dadlani;Na.Muthukumar,31/7/13,276400,67,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,bollywood,desi,hindi pop",0.483,0.65,7,-6.752,0,0.0349,0.573,0.0000297,0.228,0.637,94.988,4
Bittu Padam Di,Trisha Illana Nayanthara (Original Motion Picture Soundtrack),G. V. Prakash;Adhik Ravichandran,4/6/15,224671,52,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood",0.659,0.896,4,-4.356,0,0.295,0.483,0,0.175,0.864,85.032,4
Chennai City Gangsta,Vanakkam Chennai (Original Motion Picture Soundtrack),Anirudh Ravichander;Hard Kaur;Hiphop Tamizha;Country Chicken,31/7/13,257546,52,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,bollywood,desi,tamil indie",0.731,0.887,10,-7.554,0,0.245,0.0881,0,0.707,0.435,126.972,4
Jithu Jilladi,Theri (Original Motion Picture Soundtrack),G. V. Prakash;Thenisai Thendral Deva;Balachandran,21/3/16,289724,50,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood",0.773,0.825,8,-5.798,1,0.321,0.25,0.0000754,0.817,0.645,144.973,4
Chella Kutti,Theri (Original Motion Picture Soundtrack),G. V. Prakash;Vijay;Neeti Mohan,21/3/16,290602,55,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,bollywood,hindi pop,desi",0.691,0.737,0,-5.648,1,0.102,0.355,0.0000896,0.0915,0.679,140.05,4
Dub Theri Step,Theri (Original Motion Picture Soundtrack),G. V. Prakash;Arunraja Kamaraj,21/3/16,119690,50,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood",0.602,0.734,7,-6.918,1,0.0773,0.00202,0.00448,0.325,0.124,160.23,4
Bad - 2012 Remaster,Bad 25th Anniversary,Michael Jackson,18/9/12,247368,67,FALSE,,0.787,0.889,8,-3.786,1,0.0397,0.00462,0.423,0.0665,0.394,114.091,4
Beat It,Thriller,Michael Jackson,30/11/82,258296,83,FALSE,,0.776,0.711,3,-9.03,0,0.0473,0.0242,0.000353,0.234,0.901,138.728,4
Billie Jean,Thriller,Michael Jackson,30/11/82,293802,86,FALSE,,0.932,0.457,11,-9.62,0,0.0541,0.0173,0.0436,0.0414,0.884,117.002,4
Dangerous,The Essential Michael Jackson,Michael Jackson,19/7/05,419909,41,FALSE,,0.944,0.696,10,-5.115,1,0.134,0.0265,0.000025,0.152,0.599,112.995,4
Dirty Diana - 2012 Remaster,Bad (Remastered),Michael Jackson,31/8/87,280753,74,FALSE,,0.744,0.815,3,-4.013,1,0.0446,0.194,0.000263,0.303,0.347,131.39,4
Smooth Criminal - Radio Edit,The Essential Michael Jackson,Michael Jackson,19/7/05,258634,51,FALSE,,0.854,0.957,8,-6.07,1,0.0704,0.156,0.625,0.308,0.628,118.184,4
Enna Solla - The New Life of Tamizh,Thangamagan (Original Motion Picture Soundtrack),Anirudh Ravichander;Shweta Mohan;Dhanush,27/11/15,216000,61,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,mollywood,malayalam pop",0.621,0.515,5,-9.019,1,0.0453,0.616,0.000137,0.11,0.657,109.891,4
Oh Oh - The First Love of Tamizh,Thangamagan (Original Motion Picture Soundtrack),Anirudh Ravichander;Dhanush;Nikhita Gandhi,27/11/15,276705,66,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,bollywood,hindi pop",0.594,0.587,4,-8.705,1,0.0268,0.413,0.00013,0.0904,0.448,85.002,4
Ishq Wala Love,Student of the Year (Original Motion Picture Soundtrack),Vishal-Shekhar;Shekhar Ravjiani;Salim Merchant;Neeti Mohan,31/8/12,257972,75,FALSE,"bollywood,desi,hindi pop,sufi",0.711,0.295,0,-12.377,0,0.0334,0.534,0.0000451,0.0782,0.694,135.041,4
Radha,Student of the Year (Original Motion Picture Soundtrack),Vishal-Shekhar;Shreya Ghoshal;Udit Narayan;Vishal Dadlani;Shekhar Ravjiani,31/8/12,341360,64,FALSE,"bollywood,desi,hindi pop,kannada pop,marathi pop,bangla pop",0.804,0.748,1,-14.163,0,0.0616,0.11,0,0.0998,0.699,131.989,4
The Disco Song,Student of the Year (Original Motion Picture Soundtrack),Vishal-Shekhar;Benny Dayal;Sunidhi Chauhan;Nazia Hassan,31/8/12,342093,62,FALSE,"bollywood,desi,hindi pop,desi pop",0.69,0.939,10,-6.441,0,0.0583,0.0102,0.0288,0.12,0.615,125.006,4
Kasu Panam,Soodhu Kavvum (Original Motion Picture Soundtrack),Anthony Daasan;Gana Bala,27/3/13,147499,41,FALSE,"tamil dance,tamil pop,kollywood,kannada pop,tamil hip hop,tamil indie",0.853,0.668,11,-7.85,0,0.258,0.108,0.00000113,0.666,0.648,140.015,4
Bom Diggy Diggy,Sonu Ke Titu Ki Sweety,Zack Knight;Jasmin Walia;Kumaar,14/2/18,238530,61,FALSE,"desi,bollywood,bhangra,desi pop,hindi pop",0.782,0.827,11,-4.219,0,0.0627,0.159,0,0.226,0.498,104.032,4
Boombastic,The Boombastic Collection - Best Of Shaggy (International Version),Shaggy,1/1/08,246920,41,FALSE,reggae,0.852,0.887,2,-4.468,1,0.263,0.246,0.0000187,0.311,0.788,158.565,4
Pallo Latke,Shaadi Mein Zaroor Aana (Original Motion Picture Soundtrack),Zain - Sam;Fazilpuria;Yasser Desai;Jyotica Tangri;Kumaar,24/10/17,296829,46,FALSE,"bollywood,haryanvi pop,desi,hindi pop",0.759,0.903,4,-6.132,0,0.0725,0.0605,0.00000632,0.232,0.628,110.003,4
Mera Intkam Dekhegi,Shaadi Mein Zaroor Aana (Original Motion Picture Soundtrack),Krishna Beuraa,24/10/17,180924,49,FALSE,"sufi,qawwali,bollywood,sandalwood",0.588,0.899,5,-3.671,0,0.0518,0.0493,0,0.403,0.498,139.82,4
Konji Pesida Venaam,Sethupathi (Original Motion Picture Soundtrack),Nivas K Prasanna;K. S. Chithra;Sriram Parthasarathy,20/1/16,226784,64,FALSE,"tamil pop,kollywood,malayalam pop,kannada pop,mollywood,telugu pop,devotional,sandalwood",0.756,0.661,2,-5.769,0,0.0972,0.187,0.00000626,0.0774,0.635,88.001,4
Hey Mama,Sethupathi (Original Motion Picture Soundtrack),Nivas K Prasanna;Anirudh Ravichander,20/1/16,269398,57,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop",0.782,0.926,4,-5.887,0,0.088,0.109,0.000001,0.0786,0.522,101.977,4
Hawa Hawa,Sethupathi (Original Motion Picture Soundtrack),Nivas K Prasanna;Karthik;Saindhavi,20/1/16,252876,46,FALSE,"tamil pop,kollywood,telugu pop,tollywood,kannada pop,malayalam pop,mollywood,tamil dance,devotional,bhajan",0.791,0.535,7,-5.931,1,0.0752,0.0942,0,0.0926,0.871,98.996,4
Sandalee,Sema (Original Motion Picture Soundtrack),G. V. Prakash;Velmurugan;Mahalingam,9/6/17,323405,55,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood",0.761,0.733,4,-6.01,0,0.0697,0.693,0.000174,0.114,0.663,79.982,4
Siragugal,Sarvam (Original Motion Picture Soundtrack),Javed Ali;Yuvan Shankar Raja;Madhushree;Pa. Vijay,15/5/09,321893,64,FALSE,"sufi,bollywood,hindi pop,qawwali,desi,desi pop,tamil pop,kollywood,tamil dance,tamil hip hop",0.638,0.915,10,-3.271,0,0.149,0.185,0.000139,0.085,0.598,169.971,4
Yaayum,Sagaa (Original Motion Picture Soundtrack),Shabir Sulthan;Naresh Iyer;Rita Thyagarajan,21/7/18,286200,66,FALSE,"tamil indie,tamil pop,kollywood,tamil hip hop,tollywood,telugu pop",0.398,0.363,10,-7.257,0,0.0423,0.893,0.00000785,0.0932,0.535,200.163,3
Koodamela Koodavechi,Rummy (Original Motion Picture Soundtrack),D. Imman;VV Prassanna;Vandana Srinivasan;Yugabharathi,25/10/13,300373,66,FALSE,"tamil pop,tamil dance,kollywood,tamil hip hop",0.694,0.695,4,-5.035,0,0.0276,0.324,0,0.177,0.668,120.057,4
Remo Nee Kadhalan,Remo (Original Motion Picture Soundtrack),Anirudh Ravichander,5/9/16,243013,47,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop",0.676,0.93,11,-5.145,0,0.0489,0.121,0.0000741,0.488,0.758,135.055,4
Senjitaley,Remo (Original Motion Picture Soundtrack),Anirudh Ravichander;Vignesh Shivan,5/9/16,251333,68,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop",0.655,0.941,1,-5.185,1,0.14,0.476,0.00000322,0.215,0.344,88.073,4
Sirikkadhey,Remo (Original Motion Picture Soundtrack),Anirudh Ravichander;Arjun Kanungo;Srinidhi Venkatesh;Vignesh Shivan,5/9/16,245888,64,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop",0.632,0.629,1,-7.392,1,0.0354,0.151,0.00382,0.114,0.456,87.998,4
Meesa Beauty,Remo (Original Motion Picture Soundtrack),Anirudh Ravichander;Richard,5/9/16,250677,45,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop",0.728,0.903,11,-5.69,0,0.0479,0.0311,0.0000665,0.0433,0.607,94.983,4
Tamilselvi,Remo (Original Motion Picture Soundtrack),Anirudh Ravichander;Nakash Aziz;Vignesh Shivan,5/9/16,230388,58,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,bollywood,desi,hindi pop",0.696,0.931,7,-4.089,1,0.0636,0.0798,0.00000589,0.234,0.847,89.972,4
Laila Main Laila,Raees (Original Motion Picture Soundtrack),Pawni Pandey,24/1/17,306582,66,FALSE,"bollywood,desi",0.622,0.924,4,-4.481,0,0.142,0.00764,0.00000261,0.557,0.506,135.968,4
Ae Watan - Male Version,Raazi (Original Motion Picture Soundtrack),Arijit Singh,19/4/18,223399,44,FALSE,"hindi pop,bollywood,desi,bangla pop",0.278,0.745,2,-4.522,1,0.113,0.324,0,0.0933,0.183,80.579,3
"Marana Mass - From ""Petta""",Petta (Original Motion Picture Soundtrack),Anirudh Ravichander;S. P. Balasubrahmanyam;Vivek,10/12/18,216000,62,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,kannada pop,devotional,sandalwood",0.471,0.873,10,-5.503,0,0.373,0.47,0.0000813,0.146,0.737,78.434,4
"Ilamai Thirumbudhe - From ""Petta""",Petta (Original Motion Picture Soundtrack),Anirudh Ravichander;Dhanush,10/12/18,217000,61,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop",0.395,0.425,7,-7.616,0,0.0625,0.719,0,0.175,0.457,167.863,4
"Petta Paraak - From ""Petta""",Petta (Original Motion Picture Soundtrack),Anirudh Ravichander;Vivek,10/12/18,238374,54,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop",0.655,0.971,11,-5.574,1,0.076,0.0196,0.00000561,0.0724,0.711,96.997,4
"Ullaallaa - From ""Petta""",Petta (Original Motion Picture Soundtrack),Anirudh Ravichander;Nakash Aziz;Inno Genga;Vivek,10/12/18,296000,55,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,bollywood,desi,hindi pop",0.536,0.814,8,-4.504,0,0.282,0.403,0.0000108,0.0501,0.704,99.774,3
Jigidi Killaadi,Pattas,Anirudh Ravichander;Vivek - Mervin;Vivek,28/12/19,218915,42,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,tamil indie",0.858,0.786,1,-4.359,0,0.0495,0.0727,0.00000592,0.0539,0.511,95.002,4
Sheila Ki Jawani,Tees Maar Khan,Vishal-Shekhar;Sunidhi Chauhan;Vishal Dadlani,15/11/10,281707,71,FALSE,"bollywood,desi,hindi pop",0.803,0.859,6,-4.405,0,0.185,0.305,0.0000618,0.553,0.631,101.007,4
Orasaadha - Madras Gig,Orasaadha (Madras Gig),Vivek - Mervin;Ku Karthik,12/6/18,235500,64,FALSE,"tamil pop,tamil dance,kollywood,tamil indie,tamil hip hop",0.587,0.776,0,-4.892,1,0.0807,0.141,0,0.109,0.606,159.906,4
On My Way,On My Way,Alan Walker;Sabrina Carpenter;Farruko,21/3/19,193797,74,TRUE,"pop,reggaeton,trap latino",0.509,0.689,1,-4.929,0,0.102,0.0209,0,0.301,0.297,170.087,4
Enna Sona,OK Jaanu (Original Motion Picture Soundtrack),A.R. Rahman;Arijit Singh,4/1/17,213646,74,FALSE,"tamil pop,kollywood,bollywood,sufi,hindi pop,desi,bangla pop",0.717,0.415,7,-9.875,0,0.0302,0.637,0.00000143,0.0976,0.379,100.021,4
Madai Thiranthu,Nizhalgal,S. P. Balasubrahmanyam,30/6/05,261355,50,FALSE,"telugu pop,kannada pop,tamil pop,devotional,tollywood,sandalwood",0.57,0.433,7,-13.612,0,0.0717,0.844,0.00000477,0.355,0.765,75.9,4
Anbae Peranbae,NGK (Original Motion Picture Soundtrack),Yuvan Shankar Raja;Sid Sriram;Shreya Ghoshal;Uma Devi,30/4/19,269333,63,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,bollywood,hindi pop,desi,kannada pop,marathi pop,bangla pop",0.685,0.561,0,-4.185,0,0.0298,0.481,0.00181,0.16,0.312,90.023,4
Pistah,Neram (Original Motion Picture Soundtrack),Rajesh Murugesan;Shabareesh Varma,3/5/13,146933,44,FALSE,"mollywood,malayalam pop,tamil dance",0.623,0.762,6,-8.046,0,0.17,0.0657,0.00225,0.103,0.702,171.911,4
"Yennai Maatrum Kadhale (From ""Naanum Rowdy Dhaan"")",Rockstar Anirudh Special,Anirudh Ravichander;Vignesh Shivan;Sid Sriram,24/2/23,274678,63,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop",0.462,0.757,7,-8.052,1,0.102,0.464,0,0.127,0.431,112.483,3
Thangamey,Rockstar Anirudh Special,Anirudh Ravichander;Vignesh Shivan,24/2/23,262539,63,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop",0.571,0.901,2,-6.571,1,0.0758,0.432,0,0.279,0.615,99.929,4
"Naanum Rowdy Dhaan (From ""Naanum Rowdy Dhaan"")",Rockstar Anirudh Special,Anirudh Ravichander;Vignesh Shivan;Benny Dayal,24/2/23,177719,47,FALSE,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,bollywood,desi,hindi pop",0.62,0.729,1,-7.236,1,0.11,0.151,0,0.0769,0.704,170.042,4
The Way You Make Me Feel - 2012 Remaster,Bad 25th Anniversary,Michael Jackson,18/9/12,298121,72,FALSE,,0.877,0.854,1,-4.523,1,0.147,0.0544,0.000055,0.144,0.54,114.472,4
Don't Stop 'Til You Get Enough,Off the Wall,Michael Jackson,10/8/79,364441,80,FALSE,,0.878,0.821,11,-9.875,1,0.089,0.126,0.0461,0.183,0.947,118.881,4
Black or White - Single Version,The Essential Michael Jackson,Michael Jackson,19/7/05,256562,58,FALSE,,0.741,0.894,4,-3.826,1,0.0496,0.0814,0.0527,0.089,0.96,114.879,4
See You Again (feat. Charlie Puth),Furious 7: Original Motion Picture Soundtrack,Wiz Khalifa;Charlie Puth,17/3/15,229525,25,FALSE,"rap,soft pop,pop",0.69,0.48,10,-7.503,1,0.0816,0.369,0,0.0649,0.286,80.025,4
We Will Rock You - Remastered 2011,The Platinum Collection (2011 Remaster),Queen,1/1/11,121813,34,FALSE,"classic rock,rock,glam rock",0.7,0.495,2,-7.213,1,0.0849,0.662,0,0.242,0.506,81.083,4
Bohemian Rhapsody - Remastered 2011,The Platinum Collection (2011 Remaster),Queen,1/1/11,355466,38,FALSE,"classic rock,rock,glam rock",0.393,0.398,0,-9.973,0,0.0514,0.256,0,0.195,0.236,143.353,4
I Want To Break Free,Bohemian Rhapsody (The Original Soundtrack),Queen,19/10/18,223080,73,FALSE,"classic rock,rock,glam rock",0.807,0.414,4,-8.903,1,0.0352,0.105,0.0000278,0.0813,0.502,108.944,4
Enter Sandman - Remastered 2021,Metallica (Remastered Deluxe Box Set),Metallica,10/9/21,331560,85,FALSE,"metal,thrash metal,rock,heavy metal,hard rock",0.569,0.838,6,-8.421,0,0.0302,0.0026,0.00836,0.0628,0.615,123.299,4
Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson;Bruno Mars,12/1/15,269658,87,FALSE,,0.856,0.609,0,-7.223,1,0.0824,0.00801,0.0000815,0.0344,0.928,114.988,4
Despacito,VIDA,Luis Fonsi;Daddy Yankee,1/2/19,229360,82,FALSE,"latin,reggaeton",0.655,0.797,2,-4.787,1,0.153,0.198,0,0.067,0.839,177.928,4
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo;Nicki Minaj;Ty Dolla $ign,23/2/17,216408,70,TRUE,trap soul,0.689,0.789,1,-4.901,1,0.122,0.154,0,0.203,0.745,98.043,4
Thunder,Evolve,Imagine Dragons,23/6/17,187146,85,FALSE,,0.604,0.822,0,-4.833,1,0.0438,0.00672,0.134,0.147,0.288,167.997,4
Demons,Night Visions,Imagine Dragons,4/9/12,177506,84,FALSE,,0.5,0.71,3,-3.015,1,0.0339,0.19,0.00025,0.269,0.419,89.929,4
Radioactive,Night Visions,Imagine Dragons,4/9/12,186813,80,FALSE,,0.448,0.784,9,-3.686,1,0.0625,0.0999,0.000108,0.668,0.237,136.239,4
Believer,Evolve,Imagine Dragons,23/6/17,204346,87,FALSE,,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,4
Whistle,Whistle,Flo Rida,24/4/12,225000,53,FALSE,,0.754,0.933,0,-5.786,1,0.0448,0.0199,0,0.297,0.75,103.992,4
River (feat. Ed Sheeran),Revival,Eminem;Ed Sheeran,15/12/17,221013,72,TRUE,"rap,hip hop,soft pop",0.748,0.749,8,-5.916,0,0.516,0.142,0,0.0713,0.659,90.09,4
Rap God,The Marshall Mathers LP2 (Deluxe),Eminem,5/11/13,363521,74,TRUE,"rap,hip hop",0.709,0.843,7,-2.66,1,0.314,0.395,0,0.799,0.625,148.134,4
Not Afraid,Recovery (Deluxe Edition),Eminem,21/6/10,248133,50,TRUE,"rap,hip hop",0.855,0.954,0,-1.19,0,0.241,0.529,0,0.205,0.676,114.634,5
Love The Way You Lie,Recovery,Eminem;Rihanna,18/6/10,263373,87,TRUE,"rap,hip hop",0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,4
